26/4/2022 6:41 | /responses.js(137) | L3vGFyQ5DhiahLNruXUss6mIrZIzJqT2 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=6266436c87e87ddaadbeafcd | Request : {} | Error : Bad Request
26/4/2022 6:41 | /responses.js(137) | DizG6aY04cdowYDFsi2pqXrNGwZDRjqE | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=6266436c87e87ddaadbeafcd | Request : {} | Error : Bad Request
26/4/2022 6:43 | /responses.js(137) | KykwGCuCA8DzWm6wx73oAFc92VsnEFR9 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=62678f77caa5c8207efee499 | Request : {} | Error : Bad Request
26/4/2022 6:52 | /responses.js(137) | DskwsZtaUGxzkfunpcjLMK4zDs683Uo8 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=62678f77caa5c8207efee499 | Request : {} | Error : Bad Request
26/4/2022 7:04 | /responses.js(137) | d1N8wkTNraXY72T9IuGH1l3pkDNsuTo4 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=62678f77caa5c8207efee499 | Request : {} | Error : Bad Request
26/4/2022 10:13 | /responses.js(137) | dQK9OiPuVveZ3FEV32gvcK2uvwbxEgWb | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:19 | /responses.js(137) | jihNv16npIUyK2pZSWPi2auMeozNfqkA | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:19 | /responses.js(137) | ejji31VZyrDQvH5szNy6oOrJ5f3OutPJ | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:23 | /responses.js(137) | LNJQeRzXzwVs3cNZXl9qeRGIITjED7zY | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:24 | /responses.js(137) | PnEZcwlSL6pJkqMDOYmvZaxrsLtZe387 | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:25 | /responses.js(137) | 8e3GKquY0mGJHxZi7FKCaMu6fWxhfSNE | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:35 | /responses.js(137) | yQ42AjFHvuuq8Rd9F8L5BKxhODMNh1pX | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:35 | /responses.js(137) | ddGGMEa6pbr9rJ3sKGWmaMcp95gYz81t | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/createApplication | Request : {} | Error : Bad Request
26/4/2022 10:37 | /responses.js(137) | 6dOL5UGpnirDo3SCRSyzRpHwiTRFO0Bi | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:37 | /responses.js(137) | 070LN2sN7mXNHhlTfxxsqtpoGHNaKQHz | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:37 | /responses.js(137) | bAKHjBGcSUfMMJhx8rKO9ssXq54c1dYi | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:37 | /responses.js(137) | FvitdBNi7ABKw3nhvr6CywsBGkjQgLjb | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:38 | /responses.js(137) | kHYPmWHiELjBM3HeydtJZjSvQCm8djqT | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:38 | /responses.js(137) | DkegHlCarEvxhJMKsAPvNgQYFzUE4hIS | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:44 | /responses.js(137) | XpvRyga6sNwrAJr74OGivsv2Xyweoohf | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267cc53b885ab0431dbfa83 | Request : {} | Error : Bad Request
26/4/2022 10:44 | /responses.js(137) | u3f21xvVmrOTpliTWAWmLdSmpIIecP4X | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267cc53b885ab0431dbfa83 | Request : {} | Error : Bad Request
26/4/2022 10:44 | /responses.js(137) | PT54P5hY8Crp1UKQZ24HwpuUCdDCVRAM | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267c775cfd7f94e9e226e8b | Request : {} | Error : Bad Request
26/4/2022 10:46 | /responses.js(137) | YrfGJ2FhHtzROpZznHJpZCwvoCewXu8B | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267cc53b885ab0431dbfa83 | Request : {} | Error : Bad Request
26/4/2022 10:48 | /responses.js(137) | tXREKL6HKbTf3fapif9ii6EFULN139I7 | [error] | URL : http://doodlebluelive.com:2122/api/v1/application/editApplication?id=6267cc53b885ab0431dbfa83 | Request : {} | Error : Bad Request
