22/4/2022 4:00 | /responses.js(137) | EfIcuSHjDlobZOLK1IM4Q3HEpkLNaE54 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editProfile?id=62611ce40e7f7e2b01b5b538 | Request : {} | Error : Bad Request
22/4/2022 4:00 | /responses.js(137) | IbUvXVLaKKRxzPq2lLmOa2fQMRoMZwQp | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editProfile?id=62611ce40e7f7e2b01b5b538 | Request : {} | Error : Bad Request
22/4/2022 4:20 | /responses.js(137) | 79cp7vo0RZLXGoUPI6opedpCxzbQbZSw | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
22/4/2022 4:51 | /responses.js(137) | kru2y1B6h4w3wx08Y56KluLzvHiiV8Wp | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
22/4/2022 4:51 | /responses.js(137) | 84YM9U8RMI0dPyzLfn1DyhZjKSXmC7Op | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
22/4/2022 5:27 | /responses.js(137) | 41rjavzfAIjH7iDXZNyApTxsraaBkSDO | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
22/4/2022 7:54 | /responses.js(137) | mg254gIkDB2Sn4sXNH8nhQGtmDJQPjEb | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
22/4/2022 10:27 | /responses.js(137) | WyHdLF2FENmY3Ow6SqcJd8Dr0y7p7LK7 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
22/4/2022 10:28 | /responses.js(137) | b1crabXiVxoCEmZ4DBUe9pLf13BPWy95 | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
22/4/2022 10:42 | /responses.js(137) | uIvpYdhjTiqVZg7mhrwMC8KKUUkx8b7B | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
22/4/2022 10:42 | /responses.js(137) | 9SfTilfWt2GHO9YFNt00Of17Bputaqth | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
22/4/2022 10:42 | /responses.js(137) | VX71Axj0urSKYtz9GnIb9Cn2YR0RVOkZ | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
