25/3/2022 12:48 | /responses.js(137) | kpOCiSzI6d0Ey40tMZDq3iLaC66HH5HL | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 12:50 | /errorHandler.js(7) | 3cU1hofeNVkASMiP2NcbGGDtPc834XHJ | [error] | IP - ::ffff:27.62.2.219 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html
25/3/2022 13:20 | /responses.js(137) | 3pxrexm1CWfDoc1fLGgbLRHVqeHyJSMG | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
25/3/2022 13:26 | /responses.js(137) | jAJBO33v6CCHpjCAZ6o038T0Iw24xFvp | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
25/3/2022 13:26 | /responses.js(137) | Gp29ZsNVMa1tQsuHG5tpDIZIWTgUHf2O | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
25/3/2022 13:26 | /responses.js(137) | wMd1464cztbwNxGeHK6f7AijU1tMq5aH | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
25/3/2022 13:28 | /responses.js(137) | lgHu4wB7fcBF3RKmbhU4brWS3qxo6Wy4 | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:38 | /responses.js(137) | 98alrePm7Ce198R6g7u8WAgTYd7sp6th | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:38 | /responses.js(137) | 8LF4pdxM1GQXnURFlkbvp4j8JSr35lnR | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | I2lJSyqF9SxPditPfHJexxjZLvbJrseg | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | TO6IPVjy0PeeaACtWa3Nx7zFxAXmPmOD | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | 1kuvpYNzIvIec7zIQDtGpghjbmAkqCcq | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | LBnh4IBzB3YwG6dn9hVsIbCU0wW2cO4e | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | NZvauCb6iSwgZ0N7fEfrhgd8Hd8wSFxS | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | 9Db2PUhUeLjlezX1CBuacHh8MqtEdW5Q | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | mzOC95HuHchccG6wNLf9IogmFMhxwh8m | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:39 | /responses.js(137) | bRe4I0hqNs2nd7FjH0FWujVMtR54rf9b | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
25/3/2022 13:40 | /errorHandler.js(7) | qvMvoUs12szkjKicafdLTLCxRfjBW2fR | [error] | IP - ::ffff:117.241.213.120 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html
